City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Magnolia,US,83.46,few clouds,33.2671,-93.2393,Budget Inn
9,Victoria,HK,84.22,light rain,22.2855,114.1577,Mini Hotel Central
10,Saint George,US,83.53,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
15,Georgetown,MY,78.89,light rain,5.4112,100.3354,Cititel Penang
19,Kavieng,PG,81.52,light rain,-2.5744,150.7967,Nusa Island Retreat
20,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
23,Barretos,BR,94.57,broken clouds,-20.5572,-48.5678,Dan Inn Barretos
34,Suluq,LY,76.87,scattered clouds,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
38,Puerto Carreno,CO,88.99,scattered clouds,6.189,-67.4859,Casa Hotel Victoria
39,Bubaque,GW,84.38,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
40,Dingle,PH,76.17,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
42,Butaritari,KI,83.34,light rain,3.0707,172.7902,Isles Sunset Lodge
43,Hithadhoo,MV,83.01,overcast clouds,-0.6,73.0833,Scoop Guest House
47,Denpasar,ID,78.46,few clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
49,Upata,VE,88.2,clear sky,8.0086,-62.3989,Posada Villa Nela
53,Howard Springs,AU,78.71,overcast clouds,-12.497,131.047,buffalo beach hostel
55,Nsanje,MW,87.69,broken clouds,-16.92,35.262,Nsanje Discovery Lodge
56,Monrovia,LR,82.17,light rain,6.3005,-10.7969,Sunset Inn
58,Nouakchott,MR,85.93,broken clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
63,Trinidad,BO,94.98,smoke,-14.8333,-64.9,Hotel Piesta
65,Umm Lajj,SA,83.48,clear sky,25.0213,37.2685,Moon light Furnished Units
66,Cayenne,GF,91.44,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
67,Castro,BR,85.12,clear sky,-24.7911,-50.0119,CHACARA BAILLY
76,Atuona,PF,77.92,light rain,-9.8,-139.0333,Villa Enata
77,Muli,MV,81.12,moderate rain,2.9167,73.5667,Medhufushi Island Resort
78,Meulaboh,ID,76.96,overcast clouds,4.1363,96.1285,Kost Pria
80,Saint-Raphael,HT,88.39,few clouds,19.4333,-72.2,Adouly Hôtel
83,Bhabua,IN,82.89,broken clouds,25.05,83.6167,Kohinoor Hotel
85,Lexington,US,77.13,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
101,Lengshuitan,CN,80.94,light rain,26.4111,111.5956,Jialong Hotel
103,Singaraja,ID,77.97,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
106,Sassandra,CI,78.3,overcast clouds,4.95,-6.0833,la terrasse
108,Tarata,BO,78.22,clear sky,-17.6167,-66.0167,Alojamiento IV Centenario
111,Kandrian,PG,75.85,light rain,-6.2167,149.55,Kandrian Station
114,Mizdah,LY,81.86,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
119,Kupang,ID,75.79,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
124,Bandarbeyla,SO,78.39,scattered clouds,9.4942,50.8122,JABIR HOTEL
132,Milledgeville,US,83.75,clear sky,33.0801,-83.2321,Hampton Inn Milledgeville
134,Ovalle,CL,85.06,clear sky,-30.5983,-71.2003,Hotel Altos de Tuqui
138,Ponta Do Sol,PT,77.63,few clouds,32.6667,-17.1,Hotel do Campo
139,Tabou,CI,76.5,light rain,4.423,-7.3528,hotêl doufoulougou
141,Aguimes,ES,78.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
142,Isabela,PH,79.16,broken clouds,6.7085,121.9711,Isawad Resort
145,Buluang,PH,77.38,overcast clouds,13.3068,123.3425,Enon Beach Resort
