City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Upernavik,GL,72.7868,-56.1549,27.03,56,37,3.04,scattered clouds
1,Vaini,TO,-21.2,-175.2,62.76,100,20,0.0,few clouds
2,Novobirilyussy,RU,56.9514,90.6661,33.04,97,88,4.25,overcast clouds
3,Port Elizabeth,ZA,-33.918,25.5701,63.1,82,90,26.46,overcast clouds
4,Magnolia,US,33.2671,-93.2393,83.46,50,21,5.64,few clouds
5,Lebu,CL,-37.6167,-73.65,55.02,51,0,17.52,clear sky
6,Bluff,NZ,-46.6,168.3333,39.79,79,54,10.83,broken clouds
7,Port Hardy,CA,50.6996,-127.4199,51.98,87,90,21.85,light intensity shower rain
8,Bredasdorp,ZA,-34.5322,20.0403,60.12,72,97,2.3,overcast clouds
9,Victoria,HK,22.2855,114.1577,84.22,85,0,1.99,light rain
10,Saint George,US,37.1041,-113.5841,83.53,42,0,1.01,clear sky
11,Torbay,CA,47.6666,-52.7314,67.15,96,75,18.41,light intensity drizzle
12,Mataura,NZ,-46.1927,168.8643,39.47,90,17,2.75,few clouds
13,Hobart,AU,-42.8794,147.3294,47.26,86,90,6.91,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,73.02,74,14,21.79,few clouds
15,Georgetown,MY,5.4112,100.3354,78.89,94,40,10.0,light rain
16,Provideniya,RU,64.3833,-173.3,27.45,87,28,4.85,scattered clouds
17,Yellowknife,CA,62.456,-114.3525,42.42,98,20,3.0,few clouds
18,Kapaa,US,22.0752,-159.319,73.18,77,9,10.92,clear sky
19,Kavieng,PG,-2.5744,150.7967,81.52,78,52,8.39,light rain
20,Puerto Ayora,EC,-0.7393,-90.3518,76.96,84,99,9.57,overcast clouds
21,Khatanga,RU,71.9667,102.5,27.18,83,32,8.34,scattered clouds
22,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,107.46,17,2,14.72,clear sky
23,Barretos,BR,-20.5572,-48.5678,94.57,24,62,1.36,broken clouds
24,Tuatapere,NZ,-46.1333,167.6833,39.81,85,64,5.35,broken clouds
25,Prince George,CA,53.9166,-122.753,60.26,67,1,1.01,clear sky
26,Albany,US,42.6001,-73.9662,72.68,81,99,1.01,overcast clouds
27,Ushuaia,AR,-54.8,-68.3,47.82,61,40,3.44,scattered clouds
